year,dataid,month,gas_usage
2017,18,Jan,4416
2017,18,Feb,1950
2017,18,Mar,1166
2017,18,Apr,616
2017,18,May,0
2017,18,Aug,132
2017,18,Sep,484
2017,18,Oct,552
2017,18,Nov,856
2017,18,Dec,5780
2017,26,Dec,0
2017,35,Jan,3174
2017,35,Feb,1566
2017,35,Mar,1544
2017,35,Apr,1508
2017,35,May,1194
2017,35,Jun,670
2017,35,Jul,696
2017,35,Aug,808
2017,35,Sep,876
2017,35,Oct,1186
2017,35,Nov,1182
2017,35,Dec,2806
2017,44,Jan,3514
2017,44,Feb,1880
2017,44,Mar,1540
2017,44,Apr,1456
2017,44,May,1498
2017,44,Jun,982
2017,44,Jul,674
2017,44,Aug,1048
2017,44,Sep,1084
2017,44,Oct,668
2017,77,Jan,1290
2017,77,Feb,1096
2017,77,Mar,1036
2017,77,Apr,994
2017,77,May,880
2017,77,Jun,826
2017,77,Jul,728
2017,77,Aug,726
2017,77,Sep,816
2017,77,Oct,896
2017,77,Nov,894
2017,77,Dec,1372
2017,114,Jan,4524
2017,114,Feb,2026
2017,114,Mar,1274
2017,114,Apr,1022
2017,114,May,838
2017,114,Jun,914
2017,114,Jul,738
2017,114,Aug,784
2017,114,Sep,464
2017,171,Jan,1140
2017,187,Jan,5576
2017,187,Feb,2174
2017,187,Mar,1262
2017,187,Apr,902
2017,187,May,754
2017,187,Jun,1014
2017,187,Jul,166
2017,187,Aug,0
2017,187,Oct,1044
2017,187,Nov,1372
2017,187,Dec,6036
2017,222,Jan,7068
2017,222,Feb,0
2017,222,Jun,7180
2017,222,Jul,3074
2017,222,Aug,1494
2017,222,Sep,2268
2017,222,Oct,4564
2017,222,Nov,5852
2017,222,Dec,9578
2017,252,Jan,8590
2017,252,Feb,4510
2017,252,Mar,1688
2017,252,Apr,1048
2017,252,May,972
2017,252,Jun,900
2017,252,Jul,662
2017,252,Aug,672
2017,252,Sep,850
2017,252,Oct,1012
2017,252,Nov,1360
2017,252,Dec,9472
2017,370,Jan,3860
2017,370,Feb,2010
2017,370,Mar,970
2017,370,Apr,588
2017,370,May,714
2017,370,Jun,548
2017,370,Jul,552
2017,370,Aug,228
2017,370,Sep,598
2017,370,Oct,498
2017,370,Nov,1336
2017,370,Dec,3264
2017,483,Jan,8132
2017,483,Feb,3276
